NAZWA_PRZEDSIEBIORCY+A1:H1;NAZWA_PUNKTU;MIEJSCOWOSC;ULICA;NR_BUD;TYP_PUNKTU;NR_LOK;ADRES_OPISOWY
ARTEPIZZA SP. Z O.O.;"PIZZERIA ""STELLA DEL NORD""";GDA—SK;UL. KAPR”W;19A; GASTRONOMIA;;
PUB SEBA CZERWI—SKA MARIA;BAR PIWNY SEBA;GDA—SK;UL. FRANCISZKA HYNKA;59;GASTRONOMIA;;
MAX POLAND SP. Z O.O.;"RESTAURACJA ""MAX PREMIUM BURGER""";GDA—SK;UL. PRZYWIDZKA;11;GASTRONOMIA;;
M&M MARCIN KOWALSKI MIROS£AW £OSI—SKI SP. JAWNA;"BAR BISTRO ""CO LUDZIE POWIEDZA""";GDA—SK;UL. KMINKOWA;2;GASTRONOMIA;1;
NAZAR FAST FOOD SP. Z O.O. SP. KOMANDYTOWA;BAR NAZAR;GDA—SK;UL. ROMANA DMOWSKIEGO;11;GASTRONOMIA;;
PROJEKTOWNIA WNETRZ Z NAMI ONA JAGODA PISKOR;"DRINK BAR ""ROZI""";GDA—SK;UL. S£UPSKA;28;GASTRONOMIA;;
NAGU AGNIESZKA NAG”RSKA, ROBERT ANOLIK S.C.;"KAWIARNIA ""NAGU""";GDA—SK;UL. PA—SKA;1;GASTRONOMIA;2;
LUCYNA LASOTA BAR LETNI ZACHCIANKA;BAR KNAGA;GDA—SK;UL. MI£A;16;GASTRONOMIA;;
"KEBAB ""JERUSALEM""  MOHAMMED AMER";"KEBAB ""JERUSALEM""";GDA—SK;UL. PLAC DOMINIKA—SKI;1;GASTRONOMIA;5;
"KEBAB ""JERUSALEM""  MOHAMMED AMER";"KEBAB ""JERUSALEM""";GDA—SK;UL. ZDROJOWA;2A;GASTRONOMIA;;
"KEBAB ""JERUSALEM""  MOHAMMED AMER";KEBAB JERUSLAEM;GDA—SK;UL. SUBIS£AWA;27C;GASTRONOMIA;;
"SP”£DZIELNIA SOCJALNA ""DALBA""";PUB BROWAR SP”£DZIELCZY;GDA—SK;UL. ALEJA GRUNWALDZKA;190;GASTRONOMIA;;
"ARTUR JAB£O—SKI ""ARCZI""";SEZONOWY BAR GASTRONOMICZNY;GDA—SK;UL. BARWNA;1;GASTRONOMIA;;
